,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.2416516094677,0.025812438083521957,1.1906797207299982,1.2248579235119896,1.2412885756969585,1.2581561233593415,1.2937091306575603,0.0005749387653830088
a_std,0.16345797505426982,0.01952825544830483,0.13078278369316998,0.1495476344977303,0.16140323614194296,0.1762085103211699,0.20601811076888255,0.0005074858490526507
a_subj.12,1.211794260572786,0.03464319795683103,1.1473025117824334,1.1871228124561377,1.211458738262916,1.234427741948516,1.282535529874073,0.0008242222995726836
a_subj.13,1.2384161956608937,0.033319994652253125,1.1757982181228406,1.2157112827621386,1.2371612953054236,1.260370724679023,1.3064023572483134,0.0007482181941428138
a_subj.14,1.098794843310147,0.03328174641132424,1.03375577227141,1.0759444838370102,1.0985174622302412,1.121134404967181,1.1630630102777832,0.0009836352349293317
a_subj.16,1.2615829389335658,0.035433602618090275,1.194536801861631,1.23686175205376,1.260933666023533,1.2848490206921483,1.331953285697233,0.0008484800075814159
a_subj.21,1.2949641083405918,0.038094610164353615,1.222480501932559,1.2699608486440428,1.2947031727467035,1.320309161854851,1.3706577105870488,0.0010569299888936992
a_subj.23,1.5027548627267058,0.04335397781850306,1.4235068953686065,1.4730395627963024,1.5027726194286173,1.5320503850005909,1.5887319219567724,0.00123364269244696
a_subj.24,1.27061194172181,0.04170682537208123,1.193000359508279,1.241481910844159,1.2697727770171077,1.2986907400621253,1.350507284979358,0.001167869453128554
a_subj.25,1.1812359318925356,0.040263719832754626,1.106713525661283,1.155228287216152,1.1792859130130575,1.2063539994564838,1.2626276631363893,0.0014611787631219595
a_subj.26,1.083572577700101,0.0332128388198845,1.0224054622477732,1.06081904694903,1.0816555928794127,1.1054962708957703,1.1519422732034585,0.0009910970331679933
a_subj.27,1.3747700108290821,0.040350624302942645,1.2975074755891045,1.3476506295085229,1.3744281551527473,1.4017685255409038,1.4543285893075288,0.000911652928817834
a_subj.28,1.271865040790695,0.03502674930223166,1.2055014083636073,1.2486554401020258,1.2710502726826873,1.295631185632233,1.3421843206471349,0.0007835587223042253
a_subj.29,1.2146486282884794,0.04474991138481877,1.1200382646492257,1.185583173580702,1.216357684761935,1.2451375696432099,1.297971457454998,0.0018566215688303766
a_subj.30,1.0583662833540755,0.03126908341255036,1.0009041391477314,1.0376141028499042,1.0569453166473382,1.078631836666906,1.1240227491357184,0.0009254652220453156
a_subj.34,1.1326876475514849,0.03147799857731371,1.0671186447343484,1.1128378705567417,1.1327940805554038,1.1535897775344048,1.1971083892632977,0.0008327231404061889
a_subj.35,1.2015688272120286,0.034532780407664845,1.1343156493705182,1.17885779702956,1.2013309688183098,1.224980108374515,1.270204931462666,0.0009359902654922361
a_subj.36,1.2662960583953466,0.042710121595106704,1.1853551005999978,1.2356237158399244,1.2653445305261923,1.2957760126795865,1.35137604667666,0.0012635307275235099
a_subj.37,1.1830685987980298,0.03647482314404929,1.1129669282481602,1.158070767076769,1.182432981239474,1.2070820824500186,1.2547274280727208,0.0008281537567035103
a_subj.38,1.589353119862315,0.044004010943758755,1.5047308109430297,1.5589779324629094,1.5884443808878803,1.6180311373545329,1.6740305410247243,0.0011735273395580077
a_subj.41,1.3823476881920145,0.03905965124366754,1.3084499918192094,1.3540207807840239,1.382023923059331,1.4089411327233774,1.4597593377849458,0.0011023746017325043
a_subj.42,1.1200090663250435,0.030815059789375567,1.059140977698732,1.0997579208697426,1.118831473930322,1.1411289499457529,1.1818458913765513,0.0007862414526303015
a_subj.43,1.3284604399304574,0.042771605241065436,1.2506284613472578,1.2985599991435013,1.3268492144712338,1.3572575764385202,1.4164908368977356,0.001252384955507492
a_subj.46,1.3221405615996296,0.04072194732876726,1.2466243383262618,1.2947449861040892,1.3218338722547587,1.3472369561768596,1.4064225849699876,0.001011952195773705
a_subj.54,1.5453105210488196,0.0464559607448438,1.459415535120101,1.512483508283001,1.5444644433182608,1.5746261407777555,1.6395435016360065,0.0013187755483240477
a_subj.60,1.206124397273418,0.04450030635282494,1.123876548877783,1.1764242158942202,1.205307242791138,1.2341266948411465,1.2985130337440853,0.001175671286282665
a_subj.61,1.653173037350853,0.0646721714097453,1.5211223871149673,1.6104826096347424,1.6581004632667047,1.697827212006989,1.7669463990355512,0.0035417739348278464
a_subj.63,1.1689316832037597,0.07204383826078112,1.0331636138773295,1.1173706618931911,1.1664994347062052,1.2200780783993215,1.3118782434969627,0.0035882074422337413
a_subj.66,1.2065586936689134,0.035570449599628504,1.1314088623075909,1.1840365018622083,1.20654504390773,1.2310141354873176,1.2724495289067836,0.0009834140994208404
a_subj.75,1.1800841150996388,0.03343486929948867,1.1140539995737606,1.1572104545095037,1.1796380045072141,1.202899419804011,1.2467996087113944,0.0008779270816749422
a_subj.79,1.2290331985111498,0.03547326846983522,1.1639462131080585,1.2040710518750974,1.2284005860903873,1.2526702296572854,1.299024304671605,0.0009933265897704062
a_subj.81,1.653558454498755,0.045797955946478355,1.5647415331193715,1.6211120452560652,1.6528539475215362,1.684434132036677,1.7456786476697301,0.0011141314062964559
a_subj.82,1.03163668883192,0.029862619653388187,0.9747090835031708,1.011530363043803,1.0307785881735492,1.050262248431831,1.0944049450023436,0.0008784691784701858
a_subj.84,1.2513823080805344,0.03904093595751551,1.178254405395002,1.2248993930045138,1.2501788600161332,1.2770455003702885,1.331145105969236,0.001057617470367792
a_subj.85,1.0574355013694328,0.04000617780229309,0.9863107282150748,1.0299297530690497,1.0536562928464699,1.0843589416326225,1.1421274651256523,0.0016726160375471785
a_subj.86,1.167494960599166,0.041103723779650325,1.0794601001928192,1.1411235956777406,1.1703221200964091,1.1952678728228456,1.2439217912598386,0.0015929965854011904
a_subj.87,1.1443351253137377,0.03265183645959419,1.0810701613781735,1.1224631708327888,1.14443640707742,1.1648236856616578,1.2116526103187422,0.0009033941123677794
a_subj.89,0.9982527520374816,0.027274912671480057,0.9460467966669038,0.9798197636649473,0.9974190132336458,1.0164516619801296,1.053546082610843,0.0006679177976025433
a_subj.91,1.1033016726934162,0.03355133243836659,1.0399681604333861,1.0804516736894332,1.1026569702651312,1.125502143207965,1.171558975025378,0.000901947124469688
a_subj.94,1.263317531269017,0.03665919463530602,1.1933253792837561,1.2388648125313746,1.261861611382694,1.2881169884433161,1.336846235233683,0.0009700318831515036
a_subj.96,1.2261275309699478,0.03683668087864089,1.1537513170541336,1.201280850617336,1.2260143848973855,1.2510712424389658,1.3002005443799165,0.0010325493283126733
a_subj.99,1.1103580384445235,0.03075031109555221,1.0478788345279442,1.0900368024593936,1.1101035924535663,1.131673028531592,1.1695287972695256,0.0006844238449836553
a_subj.100,1.040877409451423,0.03154649855611054,0.9819819125436476,1.0200004332383972,1.0404652852941443,1.0610954104968142,1.1048651491617565,0.0010612980064178025
a_subj.101,1.258913044422627,0.03855448814639349,1.1813773237791874,1.2326798089427191,1.2588257534215925,1.2860006542382723,1.334838782213035,0.001129461239280006
v,0.6417069337397686,0.04789622049187232,0.5474262238141667,0.6098931749029511,0.6406947376856947,0.6731045788029157,0.7364655976538697,0.0010254280687008103
v_std,0.2799451867492945,0.03620186247270038,0.2178638384291437,0.25351382056503186,0.27664692583333705,0.3027496263240272,0.3566059225024684,0.0009023622501336355
v_subj.12,0.7822070832453121,0.09794936895202097,0.5942746833497007,0.7128546126793731,0.7813997394563473,0.8483685000870379,0.9799084908724884,0.0018314123214571304
v_subj.13,0.4107471131285902,0.09290655059031364,0.23265343210374026,0.3495851252723227,0.4089764841335449,0.4732159897096574,0.5921982174822915,0.0019452291203754545
v_subj.14,0.6821096255239366,0.10333755624016666,0.4791635474183522,0.6102306470178652,0.6829162052585532,0.7533939263740823,0.8834346415520524,0.0023101173000703583
v_subj.16,0.56114294905113,0.09174628006233292,0.38198484255387954,0.4972247732414756,0.5623957484541147,0.6230282427100714,0.7377726034804799,0.0017309438283790684
v_subj.21,0.9515393349037229,0.10056373648290799,0.7508301545813245,0.8840027473844607,0.9521215279173081,1.0214295427526303,1.143295265835982,0.0020546023171359278
v_subj.23,0.7457902814029913,0.08666548315765107,0.5761685081550019,0.6875447575870275,0.7444883974404088,0.8055279780732606,0.9179635190458733,0.0019459529673619106
v_subj.24,0.9501317347428705,0.09807822531151963,0.7500728927604499,0.885873688870336,0.9524526245171716,1.0158686723616774,1.1393339316180795,0.00186231985374453
v_subj.25,1.0735683041257555,0.10721514446239867,0.8612125918589691,1.0023953395038239,1.0767717570857136,1.146640864695293,1.2799022212170041,0.0022822217276488926
v_subj.26,0.6294179149044751,0.10820426219505536,0.42387454348735987,0.5540947172560907,0.6273466595426965,0.707360277680124,0.8361766739108981,0.002145293053878343
v_subj.27,0.7054435389047005,0.09113513047142294,0.5254888077880714,0.6449092729545027,0.7078228038333589,0.7629591848300755,0.8893022421559502,0.001953358003879876
